"ID","NhietDo","DoAm","TocDoGio","HuongGio","LuongMua","ThoiGian","KHTram","MaTram","P","NguyCo"
15431,26.8000000000,78.3000000000,0.3000000000,169.0000000000,0.0000000000,2025-03-14 11:49:00.000,SocSon,"2",0.0000000000,I
15430,26.7000000000,78.7000000000,0.4000000000,169.0000000000,0.0000000000,2025-03-14 11:48:00.000,SocSon,"2",0.0000000000,I
15429,26.6000000000,78.8000000000,0.4000000000,73.0000000000,0.0000000000,2025-03-14 11:47:00.000,SocSon,"2",0.0000000000,I
15428,26.6000000000,78.7000000000,0.6000000000,73.0000000000,0.0000000000,2025-03-14 11:46:00.000,SocSon,"2",0.0000000000,I
15427,26.6000000000,78.4000000000,1.4000000000,94.0000000000,0.0000000000,2025-03-14 11:45:00.000,SocSon,"2",0.0000000000,I
15426,26.7000000000,79.2000000000,1.2000000000,116.0000000000,0.0000000000,2025-03-14 11:44:00.000,SocSon,"2",0.0000000000,I
15425,26.6000000000,79.4000000000,0.1000000000,60.0000000000,0.0000000000,2025-03-14 11:43:00.000,SocSon,"2",0.0000000000,I
15424,26.6000000000,78.5000000000,0.4000000000,121.0000000000,0.0000000000,2025-03-14 11:42:00.000,SocSon,"2",0.0000000000,I
15423,26.6000000000,77.6000000000,0.4000000000,120.0000000000,0.0000000000,2025-03-14 11:41:00.000,SocSon,"2",0.0000000000,I
15422,26.6000000000,78.1000000000,0.8000000000,51.0000000000,0.0000000000,2025-03-14 11:40:00.000,SocSon,"2",0.0000000000,I
15421,26.7000000000,77.9000000000,1.0000000000,121.0000000000,0.0000000000,2025-03-14 11:39:00.000,SocSon,"2",0.0000000000,I
15420,26.7000000000,79.3000000000,1.4000000000,115.0000000000,0.0000000000,2025-03-14 11:38:00.000,SocSon,"2",0.0000000000,I
15419,26.6000000000,79.4000000000,1.3000000000,121.0000000000,0.0000000000,2025-03-14 11:37:00.000,SocSon,"2",0.0000000000,I
15418,26.6000000000,78.7000000000,0.4000000000,121.0000000000,0.0000000000,2025-03-14 11:36:00.000,SocSon,"2",0.0000000000,I
15417,26.5000000000,79.3000000000,0.6000000000,169.0000000000,0.0000000000,2025-03-14 11:35:00.000,SocSon,"2",0.0000000000,I
15416,26.5000000000,79.1000000000,0.8000000000,121.0000000000,0.0000000000,2025-03-14 11:34:00.000,SocSon,"2",0.0000000000,I
15415,26.5000000000,78.5000000000,1.2000000000,162.0000000000,0.0000000000,2025-03-14 11:33:00.000,SocSon,"2",0.0000000000,I
15414,26.5000000000,78.8000000000,1.2000000000,121.0000000000,0.0000000000,2025-03-14 11:32:00.000,SocSon,"2",0.0000000000,I
15413,26.6000000000,77.6000000000,1.0000000000,168.0000000000,0.0000000000,2025-03-14 11:31:00.000,SocSon,"2",0.0000000000,I
15412,26.7000000000,78.9000000000,0.2000000000,168.0000000000,0.0000000000,2025-03-14 11:30:00.000,SocSon,"2",0.0000000000,I
15411,26.6000000000,78.8000000000,0.1000000000,169.0000000000,0.0000000000,2025-03-14 11:29:00.000,SocSon,"2",0.0000000000,I
15410,26.5000000000,78.3000000000,0.6000000000,145.0000000000,0.0000000000,2025-03-14 11:28:00.000,SocSon,"2",0.0000000000,I
15409,26.5000000000,78.9000000000,0.4000000000,97.0000000000,0.0000000000,2025-03-14 11:27:00.000,SocSon,"2",0.0000000000,I
15408,26.5000000000,78.8000000000,0.8000000000,169.0000000000,0.0000000000,2025-03-14 11:26:00.000,SocSon,"2",0.0000000000,I
15407,26.4000000000,78.4000000000,1.2000000000,126.0000000000,0.0000000000,2025-03-14 11:25:00.000,SocSon,"2",0.0000000000,I
15406,26.5000000000,80.1000000000,0.8000000000,193.0000000000,0.0000000000,2025-03-14 11:24:00.000,SocSon,"2",0.0000000000,I
15405,26.4000000000,78.4000000000,0.4000000000,217.0000000000,0.0000000000,2025-03-14 11:23:00.000,SocSon,"2",0.0000000000,I
15404,26.5000000000,79.5000000000,0.4000000000,233.0000000000,0.0000000000,2025-03-14 11:22:00.000,SocSon,"2",0.0000000000,I
15403,26.5000000000,79.7000000000,0.4000000000,169.0000000000,0.0000000000,2025-03-14 11:21:00.000,SocSon,"2",0.0000000000,I
